category_super_group_ID,category_super_group,category_group_ID,saveframe_category,category_group,mandatory_code,BMRB mandatory,mandatory_number,ADIT replicable,allowed_user_defined_framecode,specified_framecode,tag category requirements,validateFlgs,,,,,,viewFlags,,,,,,NMR-STAR ordinal,rdbms_name,category_group_view_name,group_view_help,mandatory_code,BMRB mandatory,mandatory_number,ADIT replicable,allowed_user_defined_framecode,viewFlags,category_group_view_name,group_view_help,mandatory_code,BMRB mandatory,mandatory_number,ADIT replicable,allowed_user_defined_framecode,viewFlags,category_group_view_name,group_view_help
,-------------------------------,----------------,--------------,------------------------------,-----------,S=SG mandatory; M=mandatory; H=hidden; MC=mandatory conditional; O=optional,---------, -----------,---------,-------,,BMRB biopolymer public release,BMRB small molecule structure public release,biopolymer internal valid meta data,small molecule structure internal valid meta data,BMRB metabolomics public release,metabolomics internal valid meta data,public,internal,meta,sg/public,sg/internal,usr/public,-----------,-----------,-----------, ------------,-----------,S=SG mandatory; M=mandatory; H=hidden; MC=mandatory conditional; O=optional,---------, -----------,---------,public, ------------, ------------,-----------,S=SG mandatory; M=mandatory; H=hidden; MC=mandatory conditional; O=optional,---------, -----------,---------,public, ------------, ------------
TBL_BEGIN,,,,,,,,,,,,validate,public,,internal,public,internal,viewFlags,,,,,,,,,,,,,,?,viewFlags,,?,,,,,,viewFlags,,?
1,experimental_details,20,FID_sampling,?,Y,M,1,Y,Y,?,?,?,?,?,?,?,?,N,H,H,?,?,H,?,?,?,?,Y,M,?,?,Y,?,?,?,?,?,?,?,?,?,?,?
1,experimental_details,30,NMR_spectrometer_expt,?,N,O,,Y,Y,?,?,?,?,?,?,?,?,N,H,H,?,?,H,?,?,?,?,N,O,?,?,Y,?,?,?,?,?,?,?,?,?,?,?
1,experimental_details,40,sample_schedule_analysis,?,N,O,,N,Y,?,?,?,?,?,?,?,?,N,H,H,?,?,H,?,?,?,?,N,O,?,?,Y,?,?,?,?,?,?,?,?,?,?,?
1,experimental_details,50,software,?,N,O,,Y,Y,?,?,?,?,?,?,?,?,H,H,H,?,?,H,?,?,?,?,N,O,?,?,Y,?,?,?,?,?,?,?,?,?,?,?
TBL_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
