tag category,Tag,Linked tag category,Linked tag
Entity_assembly,_Entity_assembly.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Entity_assembly,_Entity_assembly.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Entity_assembly,_Entity_assembly.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Entity_assembly,_Entity_assembly.Entity_label,Sample_component,_Sample_component.Entity_label
Entity_assembly,_Entity_assembly.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Entity_assembly,_Entity_assembly.Entity_label,Entity_purity,_Entity_purity.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Entity,_Entity.Sf_framecode
Subsystem_component,_Subsystem_component.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Sample_component,_Sample_component.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Subsystem_component,_Subsystem_component.Entity_label,Entity_purity,_Entity_purity.Entity_label
Entity,_Entity.Sf_framecode,Entity_assembly,_Entity_assembly.Entity_label
Entity,_Entity.Sf_framecode,Subsystem_component,_Subsystem_component.Entity_label
Entity,_Entity.Sf_framecode,Entity,_Entity.Sf_framecode
Entity,_Entity.Sf_framecode,Entity_natural_src,_Entity_natural_src.Entity_label
Entity,_Entity.Sf_framecode,Natural_source_db,_Natural_source_db.Entity_label
Entity,_Entity.Sf_framecode,Entity_experimental_src,_Entity_experimental_src.Entity_label
Entity,_Entity.Sf_framecode,Sample_component,_Sample_component.Entity_label
Entity,_Entity.Sf_framecode,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Entity,_Entity.Sf_framecode,Entity_purity,_Entity_purity.Entity_label
Entity,_Entity.Name,Entity,_Entity.Name
Entity,_Entity.Name,Sample_component,_Sample_component.Mol_common_name
Entity_natural_src,_Entity_natural_src.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Entity_natural_src,_Entity_natural_src.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
