super_group_ID,super_group_name,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Description
,-----------,View,View,View,View,View,--------------
TBL_BEGIN,,,,,,,?
1,Entry information,Y,Y,Y,Y,,General information regarding the entry.
2,Citations,Y,Y,Y,Y,,Citations referenced in the entry and the primary citation related to this specific entry.
3,Molecular assembly,Y,Y,Y,Y,,Complete chemical description of the molecular assembly studied.
4,Experimental descriptions,Y,Y,Y,Y,,Experimental details for the samples
5,NMR parameters,Y,Y,Y,Y,,The NMR specific spectral parameters and derived information reported in the entry.
6,Structure,Y,Y,Y,Y,,Atomic coordinates$ constraints$ statistical data$ and other related information reported for molecular conformers in the entry.
TBL_END,,,,,,,?
